lga,policyName,policyURL,pdf_path,lga_id,policy_id,num_page
Macedon Ranges,Macedon-Mt-Macedon-Cool-Changes-Plan,https://www.mrsc.vic.gov.au/files/assets/public/v/1/live-amp-work/environment/cool-changes/macedon-mt-macedon-cool-changes-plan.pdf,lga_MacedonRangesShireCouncil_20230930_Macedon-Mt-Macedon-Cool-Changes-Plan.pdf,LGA24130,LGA24130_2,15
Macedon Ranges,ConversationCards,https://www.mrsc.vic.gov.au/files/assets/public/v/2/live-amp-work/environment/conversationcards-conceptv4-9.11-lowres-proof.pdf,lga_MacedonRangesShireCouncil_20230930_ConversationCards.pdf,LGA24130,LGA24130_3,36
Macedon Ranges,Factsheet-MentalHealth,https://www.mrsc.vic.gov.au/files/assets/public/v/1/live-amp-work/environment/cool-changes/factsheet-mentalhealth-web.pdf,lga_MacedonRangesShireCouncil_20230930_Factsheet-MentalHealth.pdf,LGA24130,LGA24130_4,4
Macedon Ranges,Factsheet-PhysicalHealth,https://www.mrsc.vic.gov.au/files/assets/public/v/1/live-amp-work/environment/cool-changes/factsheet-physicalhealthv2-web.pdf,lga_MacedonRangesShireCouncil_20230930_Factsheet-PhysicalHealth.pdf,LGA24130,LGA24130_5,4
Macedon Ranges,Biodiversity-Strategy-Final-December-2018,https://www.mrsc.vic.gov.au/files/assets/public/strategies-amp-plans/biodiversity-strategy-final-december-2018-r.pdf,lga_MacedonRangesShireCouncil_20230930_Biodiversity-Strategy-Final-December-2018.pdf,LGA24130,LGA24130_6,143
Macedon Ranges,Sustainable-Buildings-Policy,https://www.mrsc.vic.gov.au/files/assets/public/policies/sustainable-buildings-policy-september-2021.pdf,lga_MacedonRangesShireCouncil_20230930_Sustainable-Buildings-Policy.pdf,LGA24130,LGA24130_7,10
Macedon Ranges,Single-Use-Plastics-Policy-2023,https://www.mrsc.vic.gov.au/files/assets/public/policies/single-use-plastics-policy-2023.pdf,lga_MacedonRangesShireCouncil_20230930_Single-Use-Plastics-Policy-2023.pdf,LGA24130,LGA24130_8,7
Macedon Ranges,Township-Street-Park-Tree-Management-Policy-2022,https://www.mrsc.vic.gov.au/files/assets/public/policies/tree-management-policy-only.pdf,lga_MacedonRangesShireCouncil_20230930_Township-Street-Park-Tree-Management-Policy-2022.pdf,LGA24130,LGA24130_9,9
Mackay,Climate-Change-Policy-089,https://mcc-search.clients.squiz.net/s/redirect?collection=mackay-regional-council-web&url=https%3A%2F%2Fwww.mackay.qld.gov.au%2F__data%2Fassets%2Fpdf_file%2F0010%2F325387%2F116_Climate_Change_-_Adopted_26102022.pdf&auth=4pfEsWjghFXoapF8Yn0EEw&profile=_default&rank=6&query=climate,lga_MackayRegionalCouncil_20230930_Climate-Change-Policy-089.pdf,LGA34770,LGA34770_1,8
Mackay,"Environmental-Sustainability-Strategy-PartsA,BandC","https://www.mackay.qld.gov.au/__data/assets/pdf_file/0014/214241/Environmental_Sustainability_Strategy_-_Parts_A,_B_and_C.pdf","lga_MackayRegionalCouncil_20230930_Environmental-Sustainability-Strategy-PartsA,BandC.pdf",LGA34770,LGA34770_2,36
Mackay,Environmental-Sustainability-Strategy-PartD-Action-Plan,https://www.mackay.qld.gov.au/__data/assets/pdf_file/0015/226104/Environmental_Sustainability_Strategy_-_Part_D_-_Action_Plan.pdf,lga_MackayRegionalCouncil_20230930_Environmental-Sustainability-Strategy-PartD-Action-Plan.pdf,LGA34770,LGA34770_3,11
Meander Valley,May-2023-MVC-Policy-Manual,https://www.meander.tas.gov.au/assets/docs/Helpful-Documents/Governance-and-Organisation/May-2023-MVC-Policy-Manual.pdf,lga_MeanderValleyCouncil_20230930_May-2023-MVC-Policy-Manual.pdf,LGA64210,LGA64210_1,168
Mildura,Draft-Community-Climate-Response-Plan-2023-2028,https://yoursay.mildura.vic.gov.au/download_file/737/650,lga_MilduraRuralCityCouncil_20230930_Draft-Community-Climate-Response-Plan-2023-2028.pdf,LGA24780,LGA24780_1,30
Mildura,Annual-Environmental-Sustainability-Report-2021-2022,https://www.mildura.vic.gov.au/files/assets/public/v/9/document-resources/council/about-council/council-plans-amp-strategies/annual-environmental-sustainability-report-2021-2022.pdf,lga_MilduraRuralCityCouncil_20230930_Annual-Environmental-Sustainability-Report-2021-2022.pdf,LGA24780,LGA24780_2,31
Mildura,Electric-Vehicle-Charging-Infrastructure-Policy-CP053,https://www.mildura.vic.gov.au/files/assets/public/v/1/document-resources/services/environmental-sustainability/electric-vehicle-charging-infrastructure-policy-cp053.pdf,lga_MilduraRuralCityCouncil_20230930_Electric-Vehicle-Charging-Infrastructure-Policy-CP053.pdf,LGA24780,LGA24780_3,6
Mildura,Environmental-Sustainability-and-Climate-Change-Policy,https://www.mildura.vic.gov.au/files/assets/public/v/6/document-resources/council/about-council/council-policies/environmental-sustainability-and-climate-change-policy.pdf,lga_MilduraRuralCityCouncil_20230930_Environmental-Sustainability-and-Climate-Change-Policy.pdf,LGA24780,LGA24780_4,4
Mildura,Water-Management-Policy-CP024,https://www.mildura.vic.gov.au/files/assets/public/v/1/document-resources/council/about-council/council-policies/water-management-policy-cp024.pdf,lga_MilduraRuralCityCouncil_20230930_Water-Management-Policy-CP024.pdf,LGA24780,LGA24780_5,5
Mildura,Towards-Zero-Emissions-Strategy-2021-2050,https://www.mildura.vic.gov.au/files/assets/public/v/2/document-resources/council/about-council/council-plans-amp-strategies/towards-zero-emissions-strategy-2021-2050.pdf,lga_MilduraRuralCityCouncil_20230930_Towards-Zero-Emissions-Strategy-2021-2050.pdf,LGA24780,LGA24780_6,31
Mildura,Community-Health-and-Wellbeing-Plan-2021-2025-Final,https://www.mildura.vic.gov.au/files/assets/public/v/3/document-resources/council/about-council/council-plans-amp-strategies/community-health-and-wellbeing-plan-2021-2025-final.pdf,lga_MilduraRuralCityCouncil_20230930_Community-Health-and-Wellbeing-Plan-2021-2025-Final.pdf,LGA24780,LGA24780_7,56
Mitchell,MSC-Environment-Policy,https://cdn.mitchellshire.vic.gov.au/general-downloads/Governance/MSC-Environment-Policy.pdf,lga_MitchellShireCouncil_20230930_MSC-Environment-Policy.pdf,LGA24850,LGA24850_1,6
Mitchell,ESD-For-Council-Buildings-Policy,https://cdn.mitchellshire.vic.gov.au/general-downloads/ESD-For-Council-Buildings-Policy.pdf,lga_MitchellShireCouncil_20230930_ESD-For-Council-Buildings-Policy.pdf,LGA24850,LGA24850_2,9
Mitchell,MSC-Waste-Strategy-2030,https://cdn.mitchellshire.vic.gov.au/general-downloads/MSC_WasteStrategy2030_web.pdf,lga_MitchellShireCouncil_20230930_MSC-Waste-Strategy-2030.pdf,LGA24850,LGA24850_3,36
Mitchell,Mitchell-Environment-Strategy,https://cdn.mitchellshire.vic.gov.au/general-downloads/Mitchell_Environment_Strategy_Final_280714.pdf,lga_MitchellShireCouncil_20230930_Mitchell-Environment-Strategy.pdf,LGA24850,LGA24850_4,63
Moorabool,Sustainable-Environment-Strategy-2016-26,https://www.moorabool.vic.gov.au/files/assets/public/my-council/policies-plans-amp-strategies/sustainable-environment-strategy-2016-26.pdf,lga_MooraboolShireCouncil_20230930_Sustainable-Environment-Strategy-2016-26.pdf,LGA25150,LGA25150_1,61
Moreton Bay,environment-and-sustainability-strategy,https://www.moretonbay.qld.gov.au/files/assets/public/v/1/services/policies/environment-and-sustainability-strategy.pdf,lga_CityofMoretonBay_20230930_environment-and-sustainability-strategy.pdf,LGA35010,LGA35010_1,80
Moreton Bay,the-coporate-plan-2022-27-our-healthy-environments,https://www.moretonbay.qld.gov.au/files/assets/public/v/1/services/policies/the-coporate-plan-2022-27-our-healthy-environments.pdf,lga_CityofMoretonBay_20230930_the-coporate-plan-2022-27-our-healthy-environments.pdf,LGA35010,LGA35010_2,6
Mornington Peninsula,Climate Emergency Plan Ensuring Our Future Our Climate Emergency Response,https://www.mornpen.vic.gov.au/files/assets/public/v/1/new-website-documents/about-us/strategies-amp-plans/docs/climate-emergency-plan-ensuring-our-future-our-climate-emergency-response.pdf,lga_MorningtonPeninsulaShire_20230921_ClimateEmergencyPlanEnsuringOurFutureOurClimateEmergencyResponse.pdf,LGA25340,LGA25340_1,100
Mornington Peninsula,CEP - Progress report 2022 - Final,https://www.mornpen.vic.gov.au/files/assets/public/v/1/new-website-documents/environment/climate-change/docs/ccew_cep_progressreport_2022_final.pdf,lga_MorningtonPeninsulaShire_20230921_CEP-Progressreport2022-Final.pdf,LGA25340,LGA25340_2,111
Mornington Peninsula,Climate Emergency Advocacy Report 2022-23,https://www.mornpen.vic.gov.au/files/content/public/v/22/environment/climate-change/what-is-the-shire-doing-about-climate-change/our-climate-emergency-response/climate-emergency-advocacy-report-2022-23.pdf,lga_MorningtonPeninsulaShire_20230921_ClimateEmergencyAdvocacyReport2022-23.pdf,LGA25340,LGA25340_3,1
Mount Alexander,roadmap-to-carbon-neutrality-2020,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/roadmap_to_carbon_neutrality_-_2020.pdf,lga_MountAlexanderShireCouncil_20230930_roadmap-to-carbon-neutrality-2020.pdf,LGA25430,LGA25430_1,44
Mount Alexander,residents-and-ratepayers-aug-2020-Climate-Change-Forum_Submissions,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/residents_and_ratepayers_aug_2020.pdf,lga_MountAlexanderShireCouncil_20230930_residents-and-ratepayers-aug-2020-Climate-Change-Forum_Submissions.pdf,LGA25430,LGA25430_2,78
Mount Alexander,business-and-organisations-dec-2019-Climate-Change-Forum-Submissions,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/business_and_organisations_submissions_dec_2019.pdf,lga_MountAlexanderShireCouncil_20230930_business-and-organisations-dec-2019-Climate-Change-Forum-Submissions.pdf,LGA25430,LGA25430_3,84
Mount Alexander,climate-change-strategy,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/3.-council/council-information/polices-publications-amp-strategies/council-plans-amp-stategies/climate-change-strategy.pdf,lga_MountAlexanderShireCouncil_20230930_climate-change-strategy.pdf,LGA25430,LGA25430_4,26
Mount Alexander,environment-strategy-2015-2025,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/environment_strategy_2015-2025.pdf,lga_MountAlexanderShireCouncil_20230930_environment-strategy-2015-2025.pdf,LGA25430,LGA25430_5,20
Mount Alexander,climate-change-strategy-action-plan-2023-2024,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/3.-council/council-information/polices-publications-amp-strategies/council-plans-amp-stategies/climate-change-strategy-action-plan-2023-2024.pdf,lga_MountAlexanderShireCouncil_20230930_climate-change-strategy-action-plan-2023-2024.pdf,LGA25430,LGA25430_6,7
Mount Alexander,municipal-health-wellbeing-plan-2021-2025-october-2021,https://www.mountalexander.vic.gov.au/files/assets/public/v/1/files/municipal_health_wellbeing_plan_2021_2025__october_2021.pdf,lga_MountAlexanderShireCouncil_20230930_municipal-health-wellbeing-plan-2021-2025-october-2021.pdf,LGA25430,LGA25430_7,64
Mount Alexander,Community-Climate-Transition-Plan-230220,https://wararack.org/wp-content/uploads/2023/02/Community-Climate-Transition-Plan-230220.pdf,lga_MountAlexanderShireCouncil_20230930_Community-Climate-Transition-Plan-230220.pdf,LGA25430,LGA25430_8,51
Mount Barker,Mount-Barker-District-Climate-Change-Action-Plan-2019,https://www.mountbarker.sa.gov.au/__data/assets/pdf_file/0026/449810/Mount-Barker-District-Climate-Change-Action-Plan-2019.pdf,lga_MountbarkerDistrictCouncil_20230930_Mount-Barker-District-Climate-Change-Action-Plan-2019.pdf,LGA44550,LGA44550_1,36
Mount Barker,MBDC-Environment-Strategy-2018,https://www.mountbarker.sa.gov.au/__data/assets/pdf_file/0019/117019/MBDC-Environment-Strategy_2018_Web-1.pdf,lga_MountbarkerDistrictCouncil_20230930_MBDC-Environment-Strategy-2018.pdf,LGA44550,LGA44550_2,13
Mount Isa,Mount-Isa-Annual-Report-NCCP,https://www.mountisa.qld.gov.au/downloads/file/1873/2021-22-annual-report,lga_MountIsaCityCouncil_20230930_Mount-Isa-Annual-Report-NCCP.pdf,LGA35300,LGA35300_1,38
Mundaring,Energy-and-Emissions-Reduction-Strategy,https://www.mundaring.wa.gov.au/documents/171/energy-and-emissions-reduction-strategy,lga_ShireofMundaring_20230930_Energy-and-Emissions-Reduction-Strategy.pdf,LGA56090,LGA56090_1,33
Mundaring,Climate-Adaptation-Action-Plan,https://www.mundaring.wa.gov.au/documents/169/climate-adaptation-action-plan,lga_ShireofMundaring_20230930_Climate-Adaptation-Action-Plan.pdf,LGA56090,LGA56090_2,20
Mundaring,Environmental-Sustainability-Policy-(OR-23),https://www.mundaring.wa.gov.au/documents/244/environmental-sustainability-policy-(or-23),lga_ShireofMundaring_20230930_Environmental-Sustainability-Policy-(OR-23).pdf,LGA56090,LGA56090_3,3
Mundaring,Watercourse-Hierarchy-Strategy-(April-2023),https://www.mundaring.wa.gov.au/documents/542/watercourse-hierarchy-strategy-(april-2023),lga_ShireofMundaring_20230930_Watercourse-Hierarchy-Strategy-(April-2023).pdf,LGA56090,LGA56090_4,69
Mundaring,Local-Biodiversity-Strategy-2023-2030,https://www.mundaring.wa.gov.au/documents/543/local-biodiversity-strategy-2023-2030,lga_ShireofMundaring_20230930_Local-Biodiversity-Strategy-2023-2030.pdf,LGA56090,LGA56090_5,124
Murray,Environmental-Sustainability-Strategy-Draft,https://www.murray.wa.gov.au/Profiles/murray/assets/moduledata/consultations/4e14fe7b-9dd0-46df-b372-c7e216da4fee/2.6/SOM230705-Environmental-Sustainability-Strategy-Draft-7.pdf,lga_ShireofMurray_20230930_SOM230705-Environmental-Sustainability-Strategy-Draft.pdf,LGA56230,LGA56230_1,44
Murray Bridge,Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016-1,https://www.murraybridge.sa.gov.au/__data/assets/pdf_file/0020/340661/Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016.pdf,lga_TheRuralCityofMurrayBridge_20230930_Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016-1.pdf,LGA45040,LGA45040_1,23
Murray Bridge,Climate-Change-Lets-Talk-Fact-Sheet,https://www.murraybridge.sa.gov.au/__data/assets/pdf_file/0030/341958/Climate-Change-Lets-Talk-Fact-Sheet.pdf,lga_TheRuralCityofMurrayBridge_20230930_Climate-Change-Lets-Talk-Fact-Sheet.pdf,LGA45040,LGA45040_2,1
Murray Bridge,RCMB-Media-Release-Climate-Emergency-October-2019,https://lgasa-search.squiz.cloud/s/redirect?collection=murray-bridge-council-meta&url=https%3A%2F%2Fwww.murraybridge.sa.gov.au%2F__data%2Fassets%2Fpdf_file%2F0022%2F340069%2FRCMB-Media-Release-Climate-Emergency-October-2019.pdf&auth=kQboK87vUpYP%2FcwxmzYwFg&profile=_default&rank=6&query=climate,lga_TheRuralCityofMurrayBridge_20230930_RCMB-Media-Release-Climate-Emergency-October-2019.pdf,LGA45040,LGA45040_3,1
